RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
0 IQ Iron,10,1243,2006,2006,2027,2027,343822879,343822790,27,27,117853537,,1775163992
0 pa 1,10,1224,1486,1486,1501,1501,118078773,118078703,68,68,16549217,1700,1775163993
0k0ng0,10,1167,1895,1895,1895,1895,160077312,160077299,16,16,13097238,2190,1775163994
0pal-0racle,10,1155,1883,1883,1907,1907,401133819,401133818,15,15,14658593,2300,1775163995
0rigami1,12,1740,895,893,895,893,1322177,1321591,45,45,411685,1080,1775163998
1 Hit Me,10,1154,585,585,585,585,39310219,39310219,39,39,37291975,730,1775164000
10 Hp No Lie,10,1258,2716,2716,2788,2788,1129560344,1129560240,105,105,272835501,,1775164003
10 HP Tommy,10,1305,1793,1793,1793,1793,102302215,102302064,73,73,9847975,,1775164006
10 LP,10,1154,1763,1763,1763,1763,45945223,45945223,69,69,1626699,1870,1775164006
100000111111,10,1154,696,696,717,717,560025865,560025865,105,105,118191536,520,1775164007
1000HPMage,10,1154,409,409,409,409,14686905,14686905,67,67,13581474,325,1775164008
10hp lover,10,1318,1190,1190,1190,1190,29769674,29769510,94,94,26587703,925,1775164009
10hp maybe,10,1278,1265,1265,1265,1265,23679379,23679255,75,75,2205533,,1775164011
10hp Purist,10,1179,1346,1346,1346,1346,7659453,7659428,69,69,1729101,,1775164016
10Hp Rose,10,1283,1186,1186,1186,1186,22514341,22514212,92,92,19442700,,1775164019
10Hp Seafood,10,1204,1907,1907,1918,1918,141082750,141082700,76,76,15464000,,1775164022
10HP SPITE,10,1170,1321,1321,1321,1321,9102938,9102922,40,40,236558,,1775164026
10hp to Prif,15,2745,2947,2942,2988,2983,1126676147,1126674556,122,121,128298836,,1775164033
10hpmage101,10,1167,1999,1999,2000,2000,194820475,194820462,68,68,15912167,3035,1775164035
11 hpp,11,1494,2545,2544,2600,2599,745038187,745037847,114,114,58134176,2300,1775164036
111111111131,10,1154,266,266,276,276,304675281,304675281,80,80,200001154,210,1775164037
1181k,10,1154,544,544,565,565,423841094,423841094,80,80,167924668,455,1775164038
11th Treda,11,1537,398,397,398,397,751442,751059,37,37,369922,285,1775164039
1234m,10,1162,2397,2397,2556,2556,1723206347,1723206339,27,27,44001228,,1775164041
12th Treda,10,1352,383,383,383,383,1382340,1382142,31,31,728189,280,1775164043
12une Alt,10,1154,255,255,262,262,226552780,226552780,27,27,26552780,165,1775164044
12une Arr0w,10,1195,632,632,632,632,90836084,90836043,59,59,26327136,475,1775164046
12une Plate,10,1154,830,830,832,832,123480880,123480880,27,27,13297202,630,1775164047
13th Treda,10,1154,412,412,412,412,1443729,1443729,41,41,682404,280,1775164048
1729,10,1184,323,323,323,323,4563689,4563659,22,22,1830180,280,1775164049
1HitTank,10,1154,807,807,807,807,18482964,18482964,35,35,13380721,,1775164052
1m Dora,10,1283,977,977,985,985,125153903,125153774,113,113,53264315,835,1775164053
1OHpPureBtw,10,1163,1953,1953,1954,1954,226556360,226556351,86,86,26253666,,1775164057
1st S1N,10,1154,259,259,259,259,3983455,3983455,54,54,2023192,190,1775164058
200m hp Exp,10,1250,1642,1642,1642,1642,104282821,104282725,68,68,48393510,2025,1775164061
23 RS,10,1197,1108,1108,1108,1108,21396458,21396415,40,40,1753990,,1775164065
262XP,10,1154,1704,1704,1704,1704,201182487,201182487,14,14,4251734,1785,1775164065
2hOnMyPick,10,1196,1793,1793,1798,1798,199646218,199646176,35,35,15355150,1600,1775164066
2lG,10,1217,2285,2285,2465,2465,1913730699,1913730636,28,28,200001355,6990,1775164069
2OOm Prayer,10,1154,244,244,265,265,201436128,201436128,15,15,200001154,,1775164072
2x daily,10,1176,687,687,735,735,408314918,408314896,15,15,108731116,695,1775164073
3CB,10,1197,2290,2290,2457,2457,2291539958,2291539915,15,15,104305234,5155,1775164073
3rd Sidisi,10,1154,1698,1698,1698,1698,121485158,121485158,13,13,2109802,,1775164078
50HT3MTR3T4,11,1454,259,258,259,258,6670641,6670341,62,61,6336358,,1775164084
51LV3R,10,1154,904,904,904,904,78147442,78147442,43,43,27186130,670,1775164085
5551,10,1154,385,385,395,395,517880912,517880912,80,80,317880912,375,1775164086
63 Old Bats,10,1154,823,823,832,832,158364754,158364754,84,84,52135144,,1775164090
8 Denjan 8,10,1297,302,302,302,302,1946930,1946787,40,40,1684794,,1775164092
8 Heated 632,15,2618,227,222,227,222,3587437,3585973,59,58,3546356,,1775164096
810k,10,1154,304,304,304,304,39206935,39206935,19,19,452044,190,1775164097
8summonsn0w,10,1355,1724,1724,1724,1724,110037945,110037744,14,14,3562217,,1775164099
8XL,10,1251,2513,2513,2516,2516,296623399,296623302,116,116,67002751,2050,1775164100
9 Hitpoints,10,1281,2931,2931,3188,3188,4120087474,4120087347,123,123,408784259,4655,1775164101
9 HP,9,1020,2291,2292,2498,2499,2455236187,2455236321,17,18,294333,5230,1775164102
9 Life Point,9,1000,2204,2205,2221,2222,455668838,455668992,95,95,20144114,,1775164105
9 LP,9,1000,2516,2517,2521,2522,437247289,437247443,107,107,46499323,4265,1775164107
90 Attk,10,1154,294,294,294,294,11492449,11492449,32,32,5367701,,1775164110
912k,10,1154,136,136,143,143,26686646,26686646,27,27,26686646,75,1775164110
999999999989,10,1154,528,528,570,570,396937914,396937914,40,40,213039323,395,1775164112
9HitPts,9,1151,2673,2674,2680,2681,425548877,425548880,110,110,51383782,5310,1775164112
9HP Alec,9,1043,1804,1805,1834,1835,327141706,327141817,53,53,44405482,,1775164117
9HP BUK,9,1000,1695,1696,1695,1696,106877415,106877569,71,71,3328017,,1775164122
9HP Curtis,9,1000,2000,2001,2009,2010,392188467,392188621,66,67,13366819,2635,1775164123
9HP EVILDARK,9,1000,1564,1565,1564,1565,80222772,80222926,69,70,3752557,1160,1775164124
9HP Flexy,9,1057,1744,1745,1744,1745,54597206,54597303,65,65,2031943,1330,1775164127
9HP jchusid,9,1000,1667,1668,1667,1668,39895461,39895615,79,79,14135527,1390,1775164130
9HP Keit,9,1091,1710,1711,1710,1711,80186453,80186516,105,105,23946390,,1775164133
9HP Killer,9,1000,2015,2016,2043,2044,466083104,466083258,83,83,21044256,1810,1775164134
