0 T X,10,1285.8,67.10000000000001,1966,2030,47708310.2,1670,19
100000111111,10,1154.0,27.9,422,457,17963891.3,,1
10HP but HC,10,1154.0,4.65,240,240,96949.5,,1
10HP Michael,10,1286.8,116.10000000000001,2723,2847,99557219.2,3145,119
10hp to Prif,15,2596.6,121.55,2853,2925,85611548.4,17400,404
10 LP,10,1154.0,68.55000000000001,1705,1705,3354404.4,1820,15
111111111131,10,1154.0,67.10000000000001,234,266,24240342.3,,1
111111111181,10,1154.0,67.10000000000001,430,472,30001473.2,,1
11 hpp,11,1494.6,114.35000000000001,2531,2600,74503818.7,2285,40
12une Alt,10,1154.0,27.9,255,256,21507583.2,,1
12une Arr0w,10,1195.6,59.75,626,632,9054065.2,,1
12une Axe,10,1154.0,3.4,157,157,20000115.4,,1
12une Ax,10,1154.0,3.4,353,365,15766744.3,,1
12une Plate,10,1154.0,27.9,822,832,12309095.2,620,1
1ron Newb,10,1154.0,3.4,472,514,80000115.5,,1
222222222212,10,1154.0,3.4,234,276,40000115.4,,1
516165165133,10,1154.0,23.150000000000002,853,853,301297.6,845,10
5551,10,1154.0,67.10000000000001,332,395,36535037.2,,1
62k,10,1154.0,3.4,234,276,40000115.4,,1
8XL,10,1251.1,116.10000000000001,2393,2396,28226042.6,1935,7
999999999989,10,1154.0,40.15,528,570,39693791.4,,1
9HP Flexy,9,1057.5,65.0,1744,1744,5456317.1,1330,7
9HP Keit,9,1091.5,105.30000000000001,1710,1710,8018645.3,2235,33
9HP Velma,9,1000.0,3.15,816,816,4130797.9,880,30
9 Hit_Point,9,1073.5,3.4,1654,1657,12215482.7,2190,60
9 HP,9,1020.4,17.9,2180,2467,224352972.1,5160,25
9 LP,9,1150.3,115.85000000000001,2814,3033,145837662.6,5985,124
AlittleGlenn,10,1273.6,72.1,1858,1874,12832337.8,2865,43
Andy Grammer,10,1333.0,78.75,1882,1882,9705788.7,2375,47
Blacksmith,9,1125.0,75.25,1871,1871,5721784.0,1980,31
braker,10,1154.0,28.425,1544,1544,5052431.2,1970,13
Brtyl,10,1185.4,105.9,2571,2589,31430042.0,5740,171
Buy Keys,12,1804.1,73.2,1434,1434,1526289.7,1565,20
Chaos 12une,10,1154.0,67.10000000000001,332,344,6149998.5,,1
Charmseeker,10,1154.0,15.65,2133,2223,75696125.0,6210,134
Cordious,10,1176.0,125.85000000000001,2916,3134,209073754.3,10780,317
Crodious,10,1203.5,116.10000000000001,2810,3281,540000120.3,12425,342
Crushlyre305,10,1255.2,46.8,1680,1694,10128859.6,1545,51
Delectation,9,1000.0,3.15,1547,1547,6465473.3,2210,158
Ectomancy,9,1047.3,115.85000000000001,2837,2839,64407904.2,4005,85
